Viikko	Nädal 
Etuosa	Eesosa
Takapuoli	Tagumine pool
Itä	Ida
Länsi	Lääs
Pohjoinen	Põhi
Etelä	Lõuna
Ulkona	Väljas
Sisällä	Sees
Vasen	Vasak
Oikea	Parem
Ensimmäinen	Esimene
Toinen	Teine
Kolmas	Kolmas
Neljäs	Neljas
Viides	Viies
Kuudes	Kuues
Seitsemäs	Seitsmes
Kahdeksas	Kaheksas
Yhdeksäs	Üheksas
Kymmenes	Kümnes
Partaterä	Žilett
Pesulappu	Pesulapp
Pyyhe	Rätik
Saippua	Seep
Hammasharja	Hambahari
Hammastahna	Hambapasta
Shampoo	Šampoon
Hoitoaine	Palsam
Deodorantti	Deodorant
Nestesaippua	Vedelseep
Lusikka	Lusikas
Haarukka	Kahvel
Veitsi	Nuga
Lautanen	Taldrik
Paistinpannu	Praepann
Leikkuulauta	Lõikelaud
Pesuallas	Kraanikauss
Kulho	Kauss
Teepannu	Teekann
Pata	Pott
Sammakko	Konn
Pulu	Tuvi
Ankka	Part
Varis	Vares
Torakka	Tarakan
Hyttynen	Sääsk
Mehiläinen	Mesilane
Muurahainen	Sipelgas
Käärme	Madu
Kilpikonna	Kilpkonn
Uloskäynti	Väljapääs
Kartta	Kaart
Matkalaukku	Kohver
Turisti	Turist
Opaskirja	Juhend
Sisäänkäynti	Sissepääs
Matkaopas	Giid
Varaus	Reserveering
Passi	Pass
Maanviljelijä	Põllumees
Sihteeri	Sekretär
Pankkiiri	Pankur
Kirjaitija	Kirjanik
Suunnittelija	Disainer
Taiteilija	Kunstnik
Sotilas	Sõdur
Yrittäjä	Ettevõtja
Rakennusmies	Ehitustööline
Perheenemäntä	Kodune
Taide	Kunst
Historia	Ajalugu
Maantieto	Geograafia
Politiikka	Poliitika
Biologia	Bioloogia
Kemia	Keemia
Fysiikka	Füüsika
Taloustiede	Majandus
Tietojenkäsittelytiede	Arvutiõpetus
Matematiikka	Matemaatika
Viikkossa on seitsemän päivää	Nädalas on seitse päeva
Üksi kalenterivuosi	Üks kalendriaasta
Tänään kello 6.15	Täna kell 6.15
